,target_end_date,horizon,mu_KL,sigma_KL,mu_CDF,sigma_CDF,KL_lower_95,KL_lower_80,KL_lower_50,KL_pred,KL_upper_50,KL_upper_80,KL_upper_95,KL_WIS,CDF_lower_95,CDF_lower_80,CDF_lower_50,CDF_pred,CDF_upper_50,CDF_upper_80,CDF_upper_95,CDF_WIS,wis_COVIDhub,y,lower_95_COVIDhub,lower_80_COVIDhub,lower_50_COVIDhub,pred_COVIDhub,upper_50_COVIDhub,upper_80_COVIDhub,upper_95_COVIDhub,lower_95_calculated,lower_80_calculated,lower_50_calculated,pred_calculated,upper_50_calculated,upper_80_calculated,upper_95_calculated,wis_calculated
28,2021-05-08,1,12.60310152562284,0.1468394592359904,12.69558465277797,0.45210288739252924,223083.51208929293,246451.1767083296,269428.9007576747,297479.7771297344,328451.0961975398,359074.03236255475,396686.5008191872,9229.227916715243,134521.49456960356,182807.96141510466,240541.01371780763,326303.97115930193,442645.0190288198,582437.880550278,791503.8554618426,35220.010812350665,15281.221428571427,293591.0,227575.0,259305.0,293239.0,326668.0,364351.0,398712.0,436658.0,226206.41149084887,256238.79853,290776.0779875172,326321.102474866,363376.2333566827,398711.8945772096,436657.50815,15435.336314549751
29,2021-05-15,1,12.43370517004186,0.13409089995027956,12.481455884590162,0.41160250870949483,193086.16817627117,211474.72510659206,229409.11854525883,251124.76593268028,274895.99569819187,298208.91377424303,326608.833042726,8738.453640857106,117563.01792624168,155432.37758340753,199552.81384121033,263407.0635078236,347693.82485894096,446388.85529871297,590179.4827123719,26082.526828436647,17637.264285714286,236722.0,190262.0,217864.0,244587.0,274107.0,312571.0,351702.0,381987.0,190262.25,217864.0874847973,246339.4276262477,270545.5,301548.360090286,320254.637314855,342152.91449915594,15533.637810783412
30,2021-05-22,1,12.189046214963414,0.14880014401379693,12.19950652368,0.15725528893657778,146884.71285960326,162486.65551127214,177847.55735761224,196623.53998670296,217381.76813507875,237932.2557612774,263205.17448167485,8069.11264379155,145989.76872163423,162425.670200137,178695.66514451732,198691.07760466723,220923.90594800698,243053.60274062512,270417.1988584953,8762.87943162182,11374.75714285714,180812.0,137123.0,160665.0,184220.0,207109.0,229877.0,246997.0,265431.0,137123.0,160665.0,184220.45,205390.8680095849,226493.12758862728,242741.8175,263935.645,10755.443221985508
31,2021-05-29,1,11.901075315473442,0.17141880522705877,11.921264260919015,0.1844057879812609,105356.02742745563,118349.01324072588,131328.2362207528,147425.06849436922,165494.88096402967,183644.54612191365,206292.42912119866,5296.473932418909,104802.7779773279,118769.35934065345,132837.84423127575,150431.67312593394,170355.73266356756,190534.73391703257,215926.41641964242,6222.982025638771,8942.157142857142,145539.0,94626.0,119615.0,141730.0,161697.0,189142.0,201702.0,220900.0,94626.35411618394,119615.1953511106,139495.06463230157,158095.87211746213,184808.8165,200366.8911649295,214828.68569266383,8196.314827557017
32,2021-06-05,1,11.672731167565034,0.19405604501852552,11.757709035687888,0.49603192540588015,80208.78354319904,91494.88419543389,102933.90417969362,117328.28830240622,133735.59805854753,150455.7042399049,171626.18142137094,7046.1396434318885,48315.33705999392,67644.31165382813,91412.78124491908,127734.48284617439,178488.14887564207,241204.28915705075,337700.18178119423,16939.20062832006,9856.114285714286,101879.0,73263.0,94252.0,107753.0,125677.0,139344.0,158500.0,169297.0,73263.0,94246.5199004608,107250.00119,125428.54811211112,136910.3578379713,157476.892677459,168583.410289231,9504.83198370828
33,2021-06-12,1,11.284015336874193,0.21919310551070517,11.49198971869155,0.5660737093697326,51761.646782963806,60060.52419473898,68608.50831191066,79540.00144066915,92213.22522301991,105337.27292603003,122225.86069776885,8169.495287263446,32289.766608063426,47407.563868401994,66848.14302211055,97928.1885053337,143458.4368448982,202286.9205124466,296995.9560358471,11930.305600894033,4694.55,98924.0,54076.0,64143.0,78402.0,92163.0,102741.0,113655.0,134655.0,54076.0,64143.0,78371.23404055403,91470.0,99946.48211143828,113443.75347004202,133025.75,4578.466032778647
34,2021-06-19,1,11.276370519727696,0.4266819896367834,11.354427771193004,0.5541071805515283,34203.70283392422,45686.382105741206,59194.14364862565,78934.2510494762,105257.30426520656,136377.96869800202,182162.03137404262,7194.5090006103355,28807.690269810315,41953.23592052808,58728.955137074496,85342.49319766797,124016.18806591308,173606.1828220073,252826.279267059,10684.232641749362,4932.821428571428,80728.0,50519.0,61121.0,71251.0,86643.0,99133.0,114563.0,130226.0,51008.812,60128.0,70529.0,85810.49699999999,99133.0,112322.0,130226.0,4826.308057142856
35,2021-06-26,1,11.156566167665261,0.20744229309805304,11.23636967728164,0.4563792545781595,46629.41034501023,53675.83462259009,60879.29834243308,70022.09875187838,80537.95702504563,91346.40100322323,105150.25339887197,7027.067424022336,31004.34934312867,42255.76736268361,55745.19782067428,75839.13090533135,103176.12998662447,136113.3434664647,185508.61083464968,8719.866210425145,6068.878571428571,86666.0,42947.0,54764.0,62211.0,72990.0,83971.0,98959.0,116890.0,44758.929645,54764.324845,62211.211285,72517.3346410316,82759.2145,97686.95849402998,116237.3455,6342.097927003485
36,2021-07-03,1,11.28684320721567,0.1925219608786477,11.144098115400801,0.6114591975323915,54693.87991839452,62324.9051699772,70051.72087996035,79765.24858646016,90825.6756884312,102085.91356388762,116329.1924352941,4734.192106505702,20861.489074714875,31586.390408737283,45783.321940004455,69154.47956507884,104455.98618168864,151405.14576157575,229242.60232762262,12229.951326996621,7694.414285714286,91045.0,43658.0,53115.0,59165.0,72702.0,86508.0,99492.0,113598.0,44860.0,54802.0,63699.0,74932.29532598637,86508.0,99325.0,113366.5504964891,6988.733171262583
37,2021-07-10,1,11.348913848502209,0.43859939147196186,11.437990106466712,0.47779255932166975,35928.094232383955,48379.24177282945,63138.31370466395,84873.21625529179,114090.1999887497,148895.73655044558,200496.6584346311,20411.864867841043,36371.24969954291,50295.67176935328,67219.85354157281,92780.34589942027,128060.26987089826,171151.7568488132,236675.74406507815,16833.53775108781,26336.27142857143,134043.0,55372.0,61425.0,72438.0,85885.0,102844.0,113704.0,132234.0,55372.0,61425.0,72438.8730297343,92371.0,102844.0,115107.17027899962,132234.0,25048.82242613336
38,2021-07-17,1,12.006008116346557,0.16398748565125146,11.788987857756874,0.5524805066793448,118728.96276678251,132700.46140668725,146590.78936439662,163735.58455109017,182885.5807689548,202029.0009853438,225802.87929364273,31320.293054952293,44629.303995293034,64922.894059212435,90793.72178106397,131793.00907930668,191306.14872316856,267538.86273671937,389192.65341915534,37552.324021729,60911.07857142857,223088.0,66214.0,74926.0,95043.0,130990.0,159092.0,175185.0,197159.0,67108.0,77760.0,96887.76744841726,133720.0,165530.15929778092,177649.77074952424,201474.2444195165,57086.44476598845
39,2021-07-24,1,12.279059855685345,0.42704539679558967,12.390990825284534,0.5348904505782689,93159.30448904978,124464.91635921622,161300.1368735927,215143.35571520848,286959.85264212487,371885.2256712528,496854.9707650661,62195.663151573724,84341.11997315471,121236.82352686167,167747.08856596137,240623.99930535222,345161.9311946198,477576.92223661434,686496.800850301,50152.766200792175,74585.12857142858,363978.0,108626.0,137464.0,182305.0,238019.0,275169.0,312290.0,353220.0,108626.45,137464.67595436494,182305.07027532565,238019.0,301279.0,324483.0,384032.1209187717,63001.13045962896
40,2021-07-31,1,13.087118240842173,0.18188262893275337,13.112577332314274,0.19637575213055,337943.7831938727,382324.9853843698,426957.7204156183,482684.3700378021,545684.4786692073,609387.8506123777,689417.035214791,30111.32677103218,336949.35990581353,384966.53204434726,433706.75297482975,495130.84121720697,565254.1682667474,636820.4233822013,727570.9026216472,27815.10311887348,51215.857142857145,554161.0,269980.0,315985.0,353792.0,432544.0,506796.0,562910.0,595520.0,250670.5,293842.0,333564.058,432544.0,506274.45,556296.1528272048,592267.784566273,53330.855827679225
41,2021-08-07,1,13.227232364345479,0.3517429928933963,13.32471715290589,0.4509549002908245,278682.5965617301,353788.86270194117,438004.8756578658,555282.5511465409,703961.8249561684,871533.1207799466,1106415.3822734733,93041.96635592311,252928.4166882443,343449.4418276248,451600.2635544642,612140.5260749661,829751.5610686627,1091036.9272092276,1481510.1781355212,80963.38683297393,65941.29285714286,778862.0,371084.0,440835.0,510634.0,624341.0,727242.0,789948.0,885113.0,371084.5,440835.0,510634.25,624341.0,748338.2077147309,817603.8988296334,886463.7889948206,62220.4725205102
42,2021-08-14,1,13.685783747858144,0.13133449905174877,13.693860631718005,0.13616662247345374,678997.5917598483,742272.5813419439,803875.7323010674,878335.3504884507,959691.8490241694,1039339.1960173643,1136193.9972690337,27654.550154806228,678051.7936192078,743672.540738602,807757.8811373438,885458.2899591163,970632.9106357702,1054276.3653457363,1156307.5131361354,27678.396526767167,43948.22142857143,911736.0,519435.0,594461.0,712264.0,873812.0,984678.0,1096698.0,1180618.0,518632.415,594461.0,712264.0002945793,879515.9507357557,1010670.75,1096697.6812669951,1220964.2460640527,45283.9074176509
43,2021-08-21,1,13.777615491904546,0.11522521592338501,13.791779681202266,0.12375857491985555,768179.123442271,830637.2332012302,890819.642743834,962813.9674539033,1040626.7345756083,1116023.5766842254,1206763.7711505592,36125.65862754011,766214.420274582,833323.0705580595,898341.7033800972,976548.4862873739,1061563.7039691834,1144390.4288303496,1244621.5065078135,34125.04856761268,42599.37857142858,1047679.0,680198.0,736430.0,873548.0,1011957.0,1135475.0,1231323.0,1330829.0,665907.0495,705113.8913789717,839096.2785611148,994475.8824380736,1134322.631963279,1243099.2368393545,1366188.25,49061.060482869296
44,2021-08-28,1,13.879829234760631,0.11607399408507679,13.849022109860401,0.31210649493750575,849436.4315055256,919030.3500939002,986125.1134916887,1066432.1918109679,1153279.2382741908,1237475.584581669,1338861.36448734,27641.023446703948,560903.7608164991,693177.6140449158,837778.8797976824,1034079.3892349736,1276375.1975924831,1542635.1941759149,1906423.6290446378,72938.32558571908,35132.43571428571,1088182.0,817284.0,893290.0,981234.0,1100845.0,1220280.0,1314735.0,1406325.0,817284.0,893290.0,981234.0,1096005.03573463,1220280.0,1314734.03039802,1406324.459889806,34440.98068696061
45,2021-09-04,1,13.890211755002548,0.09372956514801847,13.94929142262147,0.42714081195342396,896725.5976403949,955597.8877589054,1011547.7322230765,1077562.124021636,1147884.6663757374,1215092.818852036,1294866.717512463,32355.150359349867,494899.9079117813,661250.7830526623,856996.6795501092,1143142.2893181823,1524830.0545500617,1976215.873189435,2640481.9898664327,102046.78861526876,38435.9,1153281.0,821105.0,920071.0,1018886.0,1125499.0,1250052.0,1376865.0,1507655.0,821105.0,920071.0,1018886.0,1117942.3956113085,1250052.0,1376864.01641,1507654.81955,39515.38552117021
46,2021-09-11,1,13.951250746272663,0.1052752772365293,13.955651647445064,0.11103365728140525,931838.6854693791,1000824.8319396955,1066874.230033103,1145384.2707086657,1229671.7744753442,1310823.9181518136,1407867.2071078466,45993.67804576275,925444.7188577236,997848.0509332356,1067425.8749435232,1150436.1018396271,1239901.7631889265,1326357.4781532648,1430126.7244245089,48297.82593881719,51278.06428571429,1041459.0,923495.0,982101.0,1067471.0,1163307.0,1238952.0,1345515.0,1456518.0,919931.3197866756,970504.9488447732,1061332.3753999283,1157996.8535,1238230.1,1343883.08912,1456350.301886842,49461.43482284945
